State,District,Year,pulses_area,pulses_production,pulses_yield
Assam,Tinsukia,2020-2021,1392.0,1714.0,1.23
Assam,Tinsukia,2021-2022,1387.0,1643.0,1.18
Assam,Tinsukia,2022-2023,1045.0,1325.0,1.27
Assam,Udalguri,2013-2014,607.0,345.0,0.57
Assam,Udalguri,2014-2015,565.0,419.0,0.74
Assam,Udalguri,2015-2016,496.0,820.0,1.65
Assam,Udalguri,2016-2017,545.0,901.0,1.65
Assam,Udalguri,2017-2018,535.0,880.0,1.64
Assam,Udalguri,2018-2019,525.0,677.0,1.29
Assam,Udalguri,2019-2020,486.0,499.0,1.03
Assam,Udalguri,2020-2021,478.0,607.0,1.27
Assam,Udalguri,2021-2022,478.0,612.0,1.28
