State,District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2017 - 2018,"96,600.00","1,92,200.00",1.99,,,,,,,,,
,,2018 - 2019,"1,11,064.00","1,20,233.00",1.08,,,,,,,,,
,,2019 - 2020,"1,18,092.00","1,86,752.00",1.58,,,,,,,,,
,,2020 - 2021,"1,21,300.00","3,07,700.00",2.54,,,,,,,,,
,,2021 - 2022,"1,25,900.00","1,72,600.00",1.37,,,,,,,,,
,,2022 - 2023,"1,29,061.00","2,12,362.09",1.65,,,,,,,,,
,21. Nashik,2013 - 2014,"46,000.00","1,00,800.00",2.19,,,,,,,,,
,,2014 - 2015,"46,000.00","44,700.00",0.97,,,,,,,,,
,,2015 - 2016,"43,300.00","26,900.00",0.62,,,,,,,,,
,,2016 - 2017,"46,700.00","1,58,500.00",3.39,,,,,,,,,
,,2017 - 2018,"65,400.00","1,44,100.00",2.2,,,,,,,,,
,,2018 - 2019,"62,430.00","30,849.00",0.49,,,,,,,,,
,,2019 - 2020,"64,192.00","75,784.00",1.18,,,,,,,,,
,,2020 - 2021,"66,300.00","1,79,100.00",2.7,,,,,,,,,
,,2021 - 2022,"62,200.00","1,25,300.00",2.01,,,,,,,,,
,,2022 - 2023,"40,082.15","1,12,437.26",2.81,,,,,,,,,
,22. Parbhani,2013 - 2014,"2,65,900.00","5,59,000.00",2.1,,,,,,,,,
,,2014 - 2015,"2,73,500.00","2,04,800.00",0.75,,,,,,,,,
,,2015 - 2016,"2,72,200.00","1,07,700.00",0.4,,,,,,,,,
,,2016 - 2017,"1,67,630.00","7,68,376.00",4.58,,,,,,,,,
,,2017 - 2018,"1,85,129.00","3,67,600.00",1.99,,,,,,,,,
,,2018 - 2019,"1,99,869.00","3,27,347.00",1.64,,,,,,,,,
,,2019 - 2020,"2,14,404.00","2,97,153.00",1.39,,,,,,,,,
,,2020 - 2021,"2,14,400.00","3,90,700.00",1.82,,,,,,,,,
,,2021 - 2022,"2,19,000.00","3,96,400.00",1.81,,,,,,,,,
,,2022 - 2023,"1,82,292.98","5,33,158.21",2.92,,,,,,,,,
,23. Pune,2019 - 2020,14,478,34.14,,,,,,,,,
,,2020 - 2021,41,97,2.37,,,,,,,,,
,,2021 - 2022,30,149,4.97,,,,,,,,,
,,2022 - 2023,423.1,"1,017.00",2.4,,,,,,,,,
,24. Sangli,2013 - 2014,"2,800.00","6,200.00",2.21,,,,,,,,,
,,2014 - 2015,"1,400.00","1,400.00",1,,,,,,,,,
,,2015 - 2016,"1,000.00",500,0.5,,,,,,,,,
,,2016 - 2017,600,"1,800.00",3,,,,,,,,,
,,2017 - 2018,254,200,0.79,,,,,,,,,
,,2018 - 2019,178,251,1.41,,,,,,,,,
,,2019 - 2020,95,179,1.88,,,,,,,,,
,,2020 - 2021,160,80,0.5,,,,,,,,,
,,2022 - 2023,125,278.79,2.23,,,,,,,,,
,25. Satara,2013 - 2014,200,500,2.5,,,,,,,,,
,,2014 - 2015,100,100,1,,,,,,,,,
,,2015 - 2016,100,30,0.3,,,,,,,,,
,,2016 - 2017,100,200,2,,,,,,,,,
,,2017 - 2018,85,100,1.18,,,,,,,,,
,,2018 - 2019,21,37,1.76,,,,,,,,,
,,2019 - 2020,14,26,1.86,,,,,,,,,
,,2020 - 2021,9,5,0.56,,,,,,,,,
,,2021 - 2022,162,243,1.5,,,,,,,,,
,,2022 - 2023,503.36,"1,088.81",2.16,,,,,,,,,
,26. Solapur,2013 - 2014,500,700,1.4,,,,,,,,,
,,2014 - 2015,600,"1,200.00",2,,,,,,,,,
,,2015 - 2016,900,700,0.78,,,,,,,,,
,,2016 - 2017,900,"1,370.00",1.52,,,,,,,,,
,,2017 - 2018,300,400,1.33,,,,,,,,,
,,2018 - 2019,163,88,0.54,,,,,,,,,
,,2019 - 2020,521,240,0.46,,,,,,,,,
,,2020 - 2021,400,900,2.25,,,,,,,,,
,,2021 - 2022,300,400,1.33,,,,,,,,,
,,2022 - 2023,413.96,667.8,1.61,,,,,,,,,
,27. Wardha,2013 - 2014,"1,76,900.00","2,54,500.00",1.44,,,,,,,,,
,,2014 - 2015,"2,07,700.00","1,84,600.00",0.89,,,,,,,,,
,,2015 - 2016,"2,23,400.00","3,20,900.00",1.44,,,,,,,,,
,,2016 - 2017,"2,40,500.00","7,18,900.00",2.99,,,,,,,,,
,,2017 - 2018,"2,51,062.00","6,28,500.00",2.5,,,,,,,,,
,,2018 - 2019,"2,43,002.00","6,55,247.00",2.7,,,,,,,,,
,,2019 - 2020,"2,50,759.00","6,89,607.00",2.75,,,,,,,,,
,,2020 - 2021,"2,43,500.00","5,94,900.00",2.44,,,,,,,,,
,,2021 - 2022,"2,53,100.00","7,52,100.00",2.97,,,,,,,,,
,,2022 - 2023,"2,54,370.99","6,25,617.97",2.46,,,,,,,,,
,28. Washim,2013 - 2014,"34,500.00","37,300.00",1.08,,,,,,,,,
,,2014 - 2015,"20,200.00","16,800.00",0.83,,,,,,,,,
,,2015 - 2016,"18,700.00","19,600.00",1.05,,,,,,,,,
,,2016 - 2017,"18,400.00","37,500.00",2.04,,,,,,,,,
,,2017 - 2018,"19,252.00","17,700.00",0.92,,,,,,,,,
,,2018 - 2019,"19,679.00","35,638.00",1.81,,,,,,,,,
,,2019 - 2020,"21,440.00","36,081.00",1.68,,,,,,,,,
,,2020 - 2021,"21,800.00","81,800.00",3.75,,,,,,,,,
,,2021 - 2022,"18,200.00","60,400.00",3.32,,,,,,,,,
,,2022 - 2023,"19,518.47","41,327.47",2.12,,,,,,,,,
,29. Yavatmal,2013 - 2014,"4,16,300.00","7,00,400.00",1.68,,,,,,,,,
,,2014 - 2015,"4,21,000.00","2,87,400.00",0.68,,,,,,,,,
,,2015 - 2016,"4,32,900.00","4,83,400.00",1.12,,,,,,,,,
,,2016 - 2017,"4,20,700.00","10,97,900.00",2.61,,,,,,,,,
,,2017 - 2018,"4,70,300.00","4,77,500.00",1.02,,,,,,,,,
,,2018 - 2019,"4,59,532.00","8,44,084.00",1.84,,,,,,,,,
,,2019 - 2020,"4,73,396.00","5,52,718.00",1.17,,,,,,,,,
,,2020 - 2021,"4,73,400.00","7,62,000.00",1.61,,,,,,,,,
,,2021 - 2022,"4,73,400.00","7,20,800.00",1.52,,,,,,,,,
,,2022 - 2023,"4,67,608.19","5,69,835.59",1.22,,,,,,,,,
12. Meghalaya,1. East garo hills,2013 - 2014,"1,801.00","1,653.00",0.92,,,,,,,,,
,,2014 - 2015,"1,809.00","1,741.00",0.96,,,,,,,,,
,,2015 - 2016,"1,805.00","1,726.00",0.96,,,,,,,,,
,,2016 - 2017,"1,795.00","1,689.00",0.94,,,,,,,,,
,,2017 - 2018,"1,795.00","1,711.00",0.95,,,,,,,,,
,,2018 - 2019,"1,796.00","1,722.00",0.96,,,,,,,,,
,,2019 - 2020,"1,793.00","1,688.00",0.94,,,,,,,,,
,,2020 - 2021,"1,792.00","1,680.00",0.94,,,,,,,,,
,,2021 - 2022,"1,791.00","1,672.00",0.93,,,,,,,,,
,,2022 - 2023,753,704,0.93,,,,,,,,,
,2. North garo hills,2013 - 2014,863,743,0.86,,,,,,,,,
,,2014 - 2015,866,773,0.89,,,,,,,,,
,,2015 - 2016,864,758,0.88,,,,,,,,,
,,2016 - 2017,860,769,0.89,,,,,,,,,
,,2017 - 2018,860,779,0.91,,,,,,,,,
,,2018 - 2019,861,785,0.91,,,,,,,,,
,,2019 - 2020,858,762,0.89,,,,,,,,,
,,2020 - 2021,857,758,0.88,,,,,,,,,
,,2021 - 2022,856,754,0.88,,,,,,,,,
,,2022 - 2023,539,301,0.56,,,,,,,,,
,3. South garo hills,2013 - 2014,202,245,1.21,,,,,,,,,
,,2014 - 2015,203,258,1.27,,,,,,,,,
,,2015 - 2016,203,256,1.26,,,,,,,,,
,,2016 - 2017,196,242,1.23,,,,,,,,,
,,2017 - 2018,196,244,1.24,,,,,,,,,
,,2018 - 2019,197,247,1.25,,,,,,,,,
,,2019 - 2020,194,242,1.25,,,,,,,,,
,,2020 - 2021,193,240,1.24,,,,,,,,,
,,2021 - 2022,192,238,1.24,,,,,,,,,
,,2022 - 2023,15,10,0.67,,,,,,,,,
,4. South west garo hills,2013 - 2014,441,565,1.28,,,,,,,,,
,,2014 - 2015,448,625,1.4,,,,,,,,,
,,2015 - 2016,447,619,1.38,,,,,,,,,
,,2016 - 2017,438,595,1.36,,,,,,,,,
,,2017 - 2018,438,598,1.37,,,,,,,,,
,,2018 - 2019,439,602,1.37,,,,,,,,,
,,2019 - 2020,436,585,1.34,,,,,,,,,
,,2020 - 2021,435,581,1.34,,,,,,,,,
,,2021 - 2022,434,577,1.33,,,,,,,,,
,,2022 - 2023,142,108,0.76,,,,,,,,,
,5. West garo hills,2013 - 2014,"3,968.00","5,396.00",1.36,,,,,,,,,
,,2014 - 2015,"3,979.00","5,627.00",1.41,,,,,,,,,
,,2015 - 2016,"3,976.00","5,569.00",1.4,,,,,,,,,
,,2016 - 2017,"3,966.00","5,412.00",1.36,,,,,,,,,
,,2017 - 2018,"3,966.00","5,459.00",1.38,,,,,,,,,
,,2018 - 2019,"3,967.00","5,484.00",1.38,,,,,,,,,
,,2019 - 2020,"3,964.00","5,420.00",1.37,,,,,,,,,
,,2020 - 2021,"3,963.00","5,395.00",1.36,,,,,,,,,
,,2021 - 2022,"3,962.00","5,370.00",1.36,,,,,,,,,
,,2022 - 2023,693,689,0.99,,,,,,,,,
13. Mizoram,1. Aizawl,2015 - 2016,17,7,0.41,,,,,,,,,
,2. Champhai,2013 - 2014,45,44,0.98,,,,,,,,,
,,2014 - 2015,18,16,0.89,,,,,,,,,
,,2015 - 2016,108,39,0.36,,,,,,,,,
,,2016 - 2017,30,1,0.03,,,,,,,,,
,,2017 - 2018,41,12,0.29,,,,,,,,,
,3. Hnahthial,2020 - 2021,9,3,0.33,,,,,,,,,
,,2022 - 2023,9,3,0.33,,,,,,,,,
,4. Kolasib,2013 - 2014,16,14,0.88,,,,,,,,,
,,2014 - 2015,18,15,0.83,,,,,,,,,
,,2015 - 2016,19,17,0.89,,,,,,,,,
,,2016 - 2017,15,13,0.87,,,,,,,,,
,,2017 - 2018,12,10,0.83,,,,,,,,,
,,2018 - 2019,12,10,0.83,,,,,,,,,
,5. Lawngtlai,2013 - 2014,25,12,0.48,,,,,,,,,
,,2014 - 2015,26,12,0.46,,,,,,,,,
,,2015 - 2016,30,12,0.4,,,,,,,,,
,,2016 - 2017,26,10,0.38,,,,,,,,,
,,2017 - 2018,27.5,10.8,0.39,,,,,,,,,
,,2018 - 2019,22,10,0.45,,,,,,,,,
,,2019 - 2020,15,8,0.53,,,,,,,,,
,,2020 - 2021,15,8,0.53,,,,,,,,,
,6. Lunglei,2013 - 2014,21,10.5,0.5,,,,,,,,,
,,2014 - 2015,16,8,0.5,,,,,,,,,
,,2015 - 2016,2,2,1,,,,,,,,,
,,2017 - 2018,11.8,1,0.08,,,,,,,,,
,,2018 - 2019,9,4,0.44,,,,,,,,,
,,2019 - 2020,8,5,0.63,,,,,,,,,
,7. Mamit,2014 - 2015,13,7,0.54,,,,,,,,,
14. Nagaland,1. Dimapur,2013 - 2014,70,40,0.57,,,,,,,,,
,,2014 - 2015,70,40,0.57,,,,,,,,,
,,2015 - 2016,80,50,0.63,,,,,,,,,
,,2016 - 2017,80,50,0.63,,,,,,,,,
,,2017 - 2018,80,50,0.63,,,,,,,,,
,,2018 - 2019,80,50,0.63,,,,,,,,,
,,2019 - 2020,3.2,2,0.63,,,,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,2. Kohima,2022 - 2023,2,1,0.5,,,,,,,,,
,3. Peren,2021 - 2022,1,1,1,,,,,,,,,
,4. Phek,2013 - 2014,50,30,0.6,,,,,,,,,
,,2014 - 2015,50,30,0.6,,,,,,,,,
,,2015 - 2016,50,30,0.6,,,,,,,,,
,,2016 - 2017,50,30,0.6,,,,,,,,,
,,2017 - 2018,50,30,0.6,,,,,,,,,
,,2018 - 2019,50,30,0.6,,,,,,,,,
,,2019 - 2020,2.5,1.5,0.6,,,,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,,,,
,5. Tseminyu,2022 - 2023,1,1,1,,,,,,,,,
15. Odisha,1. Anugul,2019 - 2020,60,160,2.67,,,,,,,,,
,2. Balangir,2019 - 2020,"50,800.00","1,13,250.00",2.23,,,,,,,,,
,3. Bargarh,2019 - 2020,"2,650.00","7,280.00",2.75,,,,,,,,,
,4. Boudh,2019 - 2020,"1,110.00","3,020.00",2.72,,,,,,,,,
,5. Gajapati,2019 - 2020,"1,650.00","7,820.00",4.74,,,,,,,,,
,6. Ganjam,2019 - 2020,860,"2,320.00",2.7,,,,,,,,,
,7. Kalahandi,2019 - 2020,"59,800.00","2,27,240.00",3.8,,,,,,,,,
,8. Kandhamal,2019 - 2020,830,"2,420.00",2.92,,,,,,,,,
,9. Koraput,2019 - 2020,"1,000.00","5,090.00",5.09,,,,,,,,,
,10. Nuapada,2019 - 2020,"10,340.00","32,110.00",3.11,,,,,,,,,
,11. Rayagada,2019 - 2020,"36,110.00","1,62,280.00",4.49,,,,,,,,,
,12. Sonepur,2019 - 2020,"4,350.00","15,510.00",3.57,,,,,,,,,
16. Puducherry,1. Karaikal,2013 - 2014,,,,,,,,,,66,49,0.74
,,2014 - 2015,,,,,,,,,,64,144,2.25
,,2015 - 2016,107,258,2.41,,,,,,,,,
,,2016 - 2017,292,532,1.82,,,,,,,,,
,,2017 - 2018,149,155,1.04,,,,,,,,,
,,2018 - 2019,280,288,1.03,,,,,,,,,
,,2019 - 2020,494,"1,230.00",2.49,,,,,,,,,
,,2020 - 2021,325,711,2.19,,,,,,,,,
,,2021 - 2022,460,"1,126.00",2.45,,,,,,,,,
,,2022 - 2023,394,"1,048.00",2.66,,,,,,,,,
,2. Pondicherry,2013 - 2014,,,,,,,,,,1,1,1
,,2014 - 2015,,,,,,,,,,30,36,1.2
,,2015 - 2016,11,13,1.18,,,,,,,,,
,,2016 - 2017,4,7,1.75,,,,,,,,,
,,2017 - 2018,5,9,1.8,,,,,,,,,
,,2018 - 2019,3,6,2,,,,,,,,,
,,2019 - 2020,6,18,3,,,,,,,,,
,,2020 - 2021,8,20,2.5,,,,,,,,,
,,2021 - 2022,5,13,2.6,,,,,,,,,
,,2022 - 2023,4,10,2.5,,,,,,,,,
17. Punjab,1. Barnala,2013 - 2014,"9,000.00","37,000.00",4.11,,,,,,,,,
,,2014 - 2015,"8,000.00","31,000.00",3.88,,,,,,,,,
,,2015 - 2016,"5,000.00","5,000.00",1,,,,,,,,,
,,2016 - 2017,"3,000.00","14,000.00",4.67,,,,,,,,,
,,2017 - 2018,"3,000.00","12,000.00",4,,,,,,,,,
,,2018 - 2019,"2,600.00","9,900.00",3.81,,,,,,,,,
,,2019 - 2020,"1,600.00","7,600.00",4.75,,,,,,,,,
,,2020 - 2021,"1,500.00","7,000.00",4.67,,,,,,,,,
,,2021 - 2022,"1,400.00","3,800.00",2.71,,,,,,,,,
,,2022 - 2023,"1,700.00","4,700.00",2.76,,,,,,,,,
,2. Bathinda,2013 - 2014,"1,42,000.00","5,05,000.00",3.56,,,,,,,,,
,,2014 - 2015,"1,39,000.00","4,98,000.00",3.58,,,,,,,,,
,,2015 - 2016,"1,12,000.00","1,18,000.00",1.05,,,,,,,,,
,,2016 - 2017,"97,000.00","4,78,000.00",4.93,,,,,,,,,
,,2017 - 2018,"99,000.00","4,91,000.00",4.96,,,,,,,,,
,,2018 - 2019,"91,100.00","4,62,600.00",5.08,,,,,,,,,
,,2019 - 2020,"78,000.00","4,09,500.00",5.25,,,,,,,,,
,,2020 - 2021,"80,900.00","3,88,000.00",4.8,,,,,,,,,
,,2021 - 2022,"77,100.00","88,900.00",1.15,,,,,,,,,
,,2022 - 2023,"70,500.00","1,27,800.00",1.81,,,,,,,,,
,3. Faridkot,2013 - 2014,"12,000.00","37,000.00",3.08,,,,,,,,,
,,2014 - 2015,"10,000.00","37,000.00",3.7,,,,,,,,,
,,2015 - 2016,"6,000.00","10,000.00",1.67,,,,,,,,,
,,2016 - 2017,"2,000.00","7,000.00",3.5,,,,,,,,,
,,2017 - 2018,"2,000.00","8,000.00",4,,,,,,,,,
,,2018 - 2019,"1,600.00","6,100.00",3.81,,,,,,,,,
,,2019 - 2020,"1,700.00","7,100.00",4.18,,,,,,,,,
,,2020 - 2021,"1,300.00","5,000.00",3.85,,,,,,,,,
,,2021 - 2022,"2,100.00","8,000.00",3.81,,,,,,,,,
,,2022 - 2023,"2,600.00","3,100.00",1.19,,,,,,,,,
,4. Fazilka,2013 - 2014,"98,000.00","3,10,000.00",3.16,,,,,,,,,
,,2014 - 2015,"98,000.00","2,51,000.00",2.56,,,,,,,,,
,,2015 - 2016,"86,000.00","1,33,000.00",1.55,,,,,,,,,
,,2016 - 2017,"80,000.00","3,37,000.00",4.21,,,,,,,,,
,,2017 - 2018,"84,000.00","3,53,000.00",4.2,,,,,,,,,
,,2018 - 2019,"81,900.00","3,56,700.00",4.36,,,,,,,,,
,,2019 - 2020,"83,500.00","3,81,200.00",4.57,,,,,,,,,
,,2020 - 2021,"86,100.00","2,70,000.00",3.14,,,,,,,,,
,,2021 - 2022,"83,900.00","3,51,900.00",4.19,,,,,,,,,
,,2022 - 2023,"91,500.00","1,54,000.00",1.68,,,,,,,,,
,5. Firozepur,2013 - 2014,"1,000.00","3,000.00",3,,,,,,,,,
,,2014 - 2015,"1,000.00","3,000.00",3,,,,,,,,,
,6. Jalandhar,2020 - 2021,100,300,3,,,,,,,,,
,7. Ludhiana,2013 - 2014,"1,000.00","3,000.00",3,,,,,,,,,
,,2020 - 2021,100,400,4,,,,,,,,,
,8. Malerkotla,2022 - 2023,100,200,2,,,,,,,,,
,9. Mansa,2013 - 2014,"86,000.00","2,75,000.00",3.2,,,,,,,,,
,,2014 - 2015,"84,000.00","2,51,000.00",2.99,,,,,,,,,
,,2015 - 2016,"72,000.00","77,000.00",1.07,,,,,,,,,
,,2016 - 2017,"63,000.00","2,62,000.00",4.16,,,,,,,,,
,,2017 - 2018,"60,000.00","2,27,000.00",3.78,,,,,,,,,
,,2018 - 2019,"54,600.00","2,30,900.00",4.23,,,,,,,,,
,,2019 - 2020,"53,700.00","2,62,200.00",4.88,,,,,,,,,
,,2020 - 2021,"50,600.00","2,28,000.00",4.51,,,,,,,,,
,,2021 - 2022,"51,700.00","65,400.00",1.26,,,,,,,,,
,,2022 - 2023,"47,100.00","79,000.00",1.68,,,,,,,,,
,10. Moga,2013 - 2014,"2,000.00","8,000.00",4,,,,,,,,,
,,2014 - 2015,"1,000.00","3,000.00",3,,,,,,,,,
,,2015 - 2016,"1,000.00","2,000.00",2,,,,,,,,,
,,2018 - 2019,200,900,4.5,,,,,,,,,
,,2019 - 2020,100,500,5,,,,,,,,,
,,2020 - 2021,100,400,4,,,,,,,,,
,,2021 - 2022,100,500,5,,,,,,,,,
,,2022 - 2023,100,200,2,,,,,,,,,
,11. Muktsar,2013 - 2014,"82,000.00","2,64,000.00",3.22,,,,,,,,,
,,2014 - 2015,"66,000.00","2,17,000.00",3.29,,,,,,,,,
,,2015 - 2016,"46,000.00","34,000.00",0.74,,,,,,,,,
,,2016 - 2017,"32,000.00","1,36,000.00",4.25,,,,,,,,,
,,2017 - 2018,"36,000.00","1,64,000.00",4.56,,,,,,,,,
,,2018 - 2019,"31,400.00","1,37,800.00",4.39,,,,,,,,,
,,2019 - 2020,"26,000.00","1,22,900.00",4.73,,,,,,,,,
,,2020 - 2021,"28,700.00","1,14,000.00",3.97,,,,,,,,,
,,2021 - 2022,"32,200.00","1,24,300.00",3.86,,,,,,,,,
,,2022 - 2023,"33,500.00","67,200.00",2.01,,,,,,,,,
,12. Patiala,2015 - 2016,"1,000.00","1,000.00",1,,,,,,,,,
,,2016 - 2017,"1,000.00","4,000.00",4,,,,,,,,,
,,2017 - 2018,"1,000.00","4,000.00",4,,,,,,,,,
,,2018 - 2019,300,"1,300.00",4.33,,,,,,,,,
,,2019 - 2020,100,500,5,,,,,,,,,
,13. Sangrur,2013 - 2014,"12,000.00","50,000.00",4.17,,,,,,,,,
,,2014 - 2015,"13,000.00","51,000.00",3.92,,,,,,,,,
,,2015 - 2016,"10,000.00","13,000.00",1.3,,,,,,,,,
,,2016 - 2017,"7,000.00","29,000.00",4.14,,,,,,,,,
,,2017 - 2018,"6,000.00","24,000.00",4,,,,,,,,,
,,2018 - 2019,"4,200.00","16,600.00",3.95,,,,,,,,,
,,2019 - 2020,"3,300.00","14,900.00",4.52,,,,,,,,,
,,2020 - 2021,"2,300.00","10,000.00",4.35,,,,,,,,,
,,2021 - 2022,"1,700.00","2,300.00",1.35,,,,,,,,,
,,2022 - 2023,"1,800.00","7,600.00",4.22,,,,,,,,,
,14. Tarn taran,2013 - 2014,"1,000.00","3,000.00",3,,,,,,,,,
,,2021 - 2022,100,300,3,,,,,,,,,
18. Rajasthan,1. Ajmer,2013 - 2014,"15,278.00","47,204.64",3.09,,,,,,,,,
,,2014 - 2015,"17,286.00","61,734.12",3.57,,,,,,,,,
,,2015 - 2016,"14,403.00","37,826.04",2.63,,,,,,,,,
,,2016 - 2017,"9,852.00","30,638.00",3.11,,,,,,,,,
,,2017 - 2018,"12,057.00","54,805.00",4.55,,,,,,,,,
,,2018 - 2019,"10,771.00","47,235.00",4.39,,,,,,,,,
,,2019 - 2020,"10,063.00","39,441.00",3.92,,,,,,,,,
,,2020 - 2021,"16,838.00","80,035.00",4.75,,,,,,,,,
,,2021 - 2022,"12,682.00","43,382.35",3.42,,,,,,,,,
,,2022 - 2023,"8,329.00","29,870.59",3.59,,,,,,,,,
,2. Alwar,2013 - 2014,"12,711.00","25,830.84",2.03,,,,,,,,,
,,2014 - 2015,"20,543.00","59,552.64",2.9,,,,,,,,,
,,2015 - 2016,"28,688.00","76,104.84",2.65,,,,,,,,,
,,2016 - 2017,"35,461.00","1,19,791.00",3.38,,,,,,,,,
,,2017 - 2018,"46,162.00","1,30,241.00",2.82,,,,,,,,,
,,2018 - 2019,"63,293.00","1,36,964.00",2.16,,,,,,,,,
,,2019 - 2020,"72,404.00","1,99,282.00",2.75,,,,,,,,,
,,2020 - 2021,"63,197.00","1,93,029.00",3.05,,,,,,,,,
,,2021 - 2022,"55,619.00","1,53,258.80",2.76,,,,,,,,,
,,2022 - 2023,"45,271.00","1,12,635.29",2.49,,,,,,,,,
,3. Banswara,2013 - 2014,"11,683.00","29,329.44",2.51,,,,,,,,,
,,2014 - 2015,"11,408.00","7,467.60",0.65,,,,,,,,,
,,2015 - 2016,"10,985.00","23,602.32",2.15,,,,,,,,,
,,2016 - 2017,"10,790.00","20,545.00",1.9,,,,,,,,,
,,2017 - 2018,"10,576.00","34,823.00",3.29,,,,,,,,,
,,2018 - 2019,"10,709.00","23,976.00",2.24,,,,,,,,,
,,2019 - 2020,"10,385.00","39,511.00",3.8,,,,,,,,,
,,2020 - 2021,"10,546.00","56,053.00",5.32,,,,,,,,,
,,2021 - 2022,"11,331.00","44,476.47",3.93,,,,,,,,,
,,2022 - 2023,"13,497.00","62,441.18",4.63,,,,,,,,,
,4. Baran,2013 - 2014,1,5.88,5.88,,,,,,,,,
,,2015 - 2016,2,5.88,2.94,,,,,,,,,
,,2018 - 2019,9,29.41,3.27,,,,,,,,,
,5. Barmer,2013 - 2014,3,11.76,3.92,,,,,,,,,
,,2014 - 2015,3,11.76,3.92,,,,,,,,,
,,2015 - 2016,2,5.88,2.94,,,,,,,,,
,,2016 - 2017,1,3,3,,,,,,,,,
,,2020 - 2021,5,18,3.6,,,,,,,,,
,,2022 - 2023,20,70.59,3.53,,,,,,,,,
,6. Bharatpur,2013 - 2014,"1,403.00","4,592.28",3.27,,,,,,,,,
,,2014 - 2015,"2,934.00","9,208.08",3.14,,,,,,,,,
,,2015 - 2016,"6,159.00","16,699.20",2.71,,,,,,,,,
,,2016 - 2017,"7,002.00","10,720.00",1.53,,,,,,,,,
,,2017 - 2018,"6,997.00","20,852.00",2.98,,,,,,,,,
,,2018 - 2019,"7,563.00","14,370.00",1.9,,,,,,,,,
,,2019 - 2020,"7,557.00","22,852.00",3.02,,,,,,,,,
,,2020 - 2021,"6,833.00","22,153.00",3.24,,,,,,,,,
,,2021 - 2022,"6,144.00","15,011.76",2.44,,,,,,,,,
,,2022 - 2023,"5,348.00","13,294.12",2.49,,,,,,,,,
,7. Bhilwara,2013 - 2014,"39,479.00","1,22,380.44",3.1,,,,,,,,,
,,2014 - 2015,"45,361.00","1,41,349.32",3.12,,,,,,,,,
,,2015 - 2016,"44,385.00","1,16,706.24",2.63,,,,,,,,,
,,2016 - 2017,"31,423.00","1,00,806.00",3.21,,,,,,,,,
,,2017 - 2018,"41,467.00","1,59,294.00",3.84,,,,,,,,,
,,2018 - 2019,"42,344.00","1,46,217.00",3.45,,,,,,,,,
,,2019 - 2020,"44,448.00","1,22,311.00",2.75,,,,,,,,,
,,2020 - 2021,"44,759.00","1,62,935.00",3.64,,,,,,,,,
,,2021 - 2022,"39,365.00","1,26,005.90",3.2,,,,,,,,,
,,2022 - 2023,"29,073.00","98,829.41",3.4,,,,,,,,,
,8. Bikaner,2013 - 2014,746,"2,263.80",3.03,,,,,,,,,
,,2014 - 2015,747,"1,176.00",1.57,,,,,,,,,
,,2015 - 2016,631,735,1.16,,,,,,,,,
,,2016 - 2017,662,"2,192.00",3.31,,,,,,,,,
,,2017 - 2018,"2,401.00","7,776.00",3.24,,,,,,,,,
,,2018 - 2019,"5,434.00","17,641.00",3.25,,,,,,,,,
,,2019 - 2020,"18,190.00","39,535.00",2.17,,,,,,,,,
,,2020 - 2021,"31,019.00","95,294.00",3.07,,,,,,,,,
,,2021 - 2022,"39,700.00","83,347.06",2.1,,,,,,,,,
,,2022 - 2023,"40,088.00","1,33,594.12",3.33,,,,,,,,,
,9. Bundi,2013 - 2014,58,188.16,3.24,,,,,,,,,
,,2014 - 2015,86,270.48,3.15,,,,,,,,,
,,2015 - 2016,75,205.8,2.74,,,,,,,,,
,,2016 - 2017,178,589,3.31,,,,,,,,,
,,2017 - 2018,269,870,3.23,,,,,,,,,
,,2018 - 2019,295,958,3.25,,,,,,,,,
,,2019 - 2020,59,217,3.68,,,,,,,,,
,,2020 - 2021,15,59,3.93,,,,,,,,,
,,2021 - 2022,13,41.18,3.17,,,,,,,,,
,,2022 - 2023,23,76.47,3.32,,,,,,,,,
,10. Chittorgarh,2013 - 2014,"13,076.00","53,214.00",4.07,,,,,,,,,
,,2014 - 2015,"13,045.00","56,730.24",4.35,,,,,,,,,
,,2015 - 2016,"11,291.00","36,497.16",3.23,,,,,,,,,
,,2016 - 2017,"10,290.00","41,631.00",4.05,,,,,,,,,
,,2017 - 2018,"11,994.00","46,252.00",3.86,,,,,,,,,
,,2018 - 2019,"15,153.00","50,852.00",3.36,,,,,,,,,
,,2019 - 2020,"12,117.00","25,688.00",2.12,,,,,,,,,
,,2020 - 2021,"6,069.00","24,012.00",3.96,,,,,,,,,
,,2021 - 2022,"6,538.00","15,111.76",2.31,,,,,,,,,
,,2022 - 2023,"5,675.00","20,417.65",3.6,,,,,,,,,
,11. Churu,2013 - 2014,302,987.84,3.27,,,,,,,,,
,,2014 - 2015,614,"1,928.64",3.14,,,,,,,,,
,,2015 - 2016,606,"1,640.52",2.71,,,,,,,,,
,,2016 - 2017,856,"2,835.00",3.31,,,,,,,,,
